Name,Cmpd number ,HTP Rank,Viable?,inherent CD86,inherent CD40,inherent MHCII,Keep?,Mods only MFI of BV421 (CD86),Mods only  MFI of AF488 (CD40),Mods only MFI of PE (MHCII),Pam3 MFI of BV421 (CD86),Pam3 MFI of AF488 (CD40),Pam3 MFI of PE (MHCII),Pam2 MFI of BV421 (CD86),Pam2 MFI of AF488 (CD40),Pam2 MFI of PE (MHCII),LPS MFI of BV421 (CD86),LPS MFI of AF488 (CD40),LPS MFI of PE (MHCII),Fla MFI of BV421 (CD86),Fla MFI of AF488 (CD40),Fla MFI of PE (MHCII),R848 MFI of BV421 (CD86),R848 MFI of AF488 (CD40),R848 MFI of PE (MHCII),cGAMP MFI of BV421 (CD86),cGAMP MFI of AF488 (CD40),cGAMP MFI of PE (MHCII),Poly IC MFI of BV421 (CD86),Poly IC MFI of AF488 (CD40),Poly IC MFI of PE (MHCII),Modulator only abs,Modulator only lum,Mods alone IL-1b (pg/mL),Mods alone IL-12 (pg/mL),Mods alone IP-10 (pg/mL),Mods Alone CCl4 (pg/mL),Mods Alone TNF (pg/mL),Mods Alone IFN-B (pg/mL),LPS - IL-1B,LPS - IL-12,LPS - IP-10,LPS-CCl4,LPS-TNF,LPS-IFN-B,PAM3 - IL-1B,PAM3 - IL-12,PAM3 - IP-10,PAM3- CCL4 - FOLD COUNTS,PAM3 - TNF,PAM3 - IFN-B,cGAMP - IL-1B,cGAMP - IL-12,cGAMP - IP-10 - fold counts,cGAMP CCL4 - Fold Counts,cGAMP - TNF,cGAMP - IFN-B,Fla - IL-1B,Fla - IL-12,Fla - IP-10,Fla-CCL4,Fla - TNF,Fla - IFN-B,R848 - IL-1B,R848 - IL-12,R848 - IP-10,R848 CCL4,R848 - TNF,R848 - IFN-B,PAM2 - IL-1B,PAM2 - IL-12,PAM2 - IP-10,PAM2 CCL4,Pam2 TNF,Pam2 - IFN-B,Poly IC - IL-1B,Poly IC - IL-12,Poly IC - IP-10,Poly IC- CCL4,Poly IC - TNF,Poly IC - IFN-B
ABT-737,S1002,1,0,0,0,0,0,0.799114755,0.596588562,1.104301206,0.963129093,0.393700972,0.979988433,0.952927215,0.599336677,1.622063869,0.75379781,0.443767776,0.590168633,0.779795788,0.674743798,0.811497435,0.85470437,0.290530555,1.578259245,1.098152752,0.210155148,1.045439132,1.547217011,1.241480575,1.096491228,0.111,278,0,3.4189286,155.753392,3695.94192,1.68323719,8.60984853,0.6896904,0.474,0.0456482,0.80768188,1.35482729,0.47882833,0.69621577,0.72377952,0.05715691,0.46299535,1.22081525,0.59590469,0.40636218,0.19622,0.04549882,0.80242375,0.46880751,0.08324664,0.6189498,0.30392493,0.04104358,0.77794819,1.14698716,0.65265932,0.10728215,0.12332046,1.08193162,0.72620674,0.436916563,0,0.59652537,0.45110756,0.26125952,0.67336056,0.88539504,0,1.1078527,0.11392296,0.05064933,0.52051897,0.47950698,1.0201323
Regorafenib (BAY 73-4506),S1178,2,1,0,0,0,1,1.087544897,0.847311574,1.219812355,1.563828833,1.250471958,1.64534413,1.268591772,0.471282964,2.284507786,0.960032431,0.218514156,0.397287209,0.61618902,0.721961498,0.928263171,1.017994859,0.2065243,1.541277549,1.160461969,0.245001245,1.420481519,1.280175109,0.95735699,1.036472761,0.104,113,7.83897273,3.67058129,178.518122,2594.63189,0.85866882,1.39727676,0.11416677,0.01976,0.05146245,0.95231445,0.08942977,0.20673327,0.05016788,0.00214402,0.00758246,0.15139601,0.0064429,0.53350291,0.28119585,0.1033,0.02206286,0.53315637,0,0.08660159,0.29283027,0.06113968,0,0.24242373,0.03119307,1.13006373,0.0085489,0.00516676,0.42142418,0.02263436,0.0070924,0,0.07448024,0.03942789,0.1325753,0.48328064,0.01299974,0,1.01212827,0.28844768,0,0.30072528,0.49533133,0.6229051
Selumetinib (AZD6244),S1008,3,1,0,0,0,1,1.342234154,0.912235141,1.37297429,1.113483448,0.92810994,1.387160208,1.31784019,0.840721566,3.801530747,0.999929883,0.692479915,1.5351663,0.474128151,0.744947802,0.942187118,1.438971722,1.598731981,3.909973851,1.455392265,0.582427611,1.270939301,1.191369606,0.823003977,1.003231764,0.103,162,0,8.74597248,374.448958,2793.20251,0.86103425,0.32194108,0.32604053,1.15541,6.60270347,0.89784453,0.32601639,0.24596038,0.21917388,0.06983821,2.53793045,0.4364286,0.2352933,0.62913244,1.95502573,0.50784,0.30576749,0.84610847,0.18294598,0.13742329,0.32070445,0.34457361,1.12140621,0.76433675,0.24263395,2.84946426,0.06458607,46054.7169,0.98020264,0.96935029,1.795297411,1.564025045,0.11143246,0.25713453,2.0993267,0.76937178,0.2241376,0,0.03614485,0.3909774,0.22776563,0.3919839,0.63562648,0.47989752
Cediranib (AZD2171),S1017,4,0,0,0,0,0,1.463919022,1.262822405,1.181430486,1.8326007,2.000867699,1.187275882,1.34869462,1.108558486,0.934811296,1.099673512,0.722937107,0.994734386,1.267182953,1.146346135,0.711342725,1.86159383,1.003405659,0.827792305,1.717846241,1.520119472,0.797219396,1.7191995,1.551300092,1.108494922,0.105,192,9.17364757,56.2291463,7678.26045,28317.0843,7.44905021,0.66358371,6.50070096,7.00348,15370.9035,0.06061381,8.74171852,12.0525855,5.64097637,3.67183157,12.0420462,0.84781444,6.47471261,9.85030188,18.0030346,6.22446,2.31350862,3.91776973,5.76099614,41.8492632,10.1715337,23.1743959,2928.96073,2.21662654,3.36403212,48.7955155,6508.62473,1.90503652,1.16429502,0.62386738,0.413603679,0.558680823,22.7001133,13.8736356,817.57302,2.02371626,5.7367848,2012.77183,1.11659899,1.67495727,4.06102013,5.50500136,1.2959346,0.60166947
Pazopanib HCl (GW786034 HCl),S1035,5,1,0,0,0,1,1.014838733,1.166971611,1.163518947,1.230824437,0.934160384,1.077154425,1.456388449,0.979857628,1.410926366,1.516543209,0.902440136,1.057208558,1.630977162,0.922900105,1.017913851,1.179640103,0.563325979,1.151288756,1.029046165,0.623496225,1.05256019,1.328330206,1.212847966,1.093259464,0.124,558,1.8082606,18.604883,266.802648,3294.04532,1.30522683,1.95935916,2.99445186,0.34517,0.06058582,2.08223583,0.79660583,0.74932474,1.01715038,0.05785689,0.00939424,0.21974955,0.11938108,0.32280806,0.6490345,1.28154,0.5076057,0.91546287,0.78814053,1.39928685,2.23153335,0.19190008,0.02279063,0.39389918,0.19471023,0.8294667,0.1473653,0.01656278,0.53964327,0.08648137,0.007419251,0,1.23815618,0.18152776,0.19593236,0.57962588,0.31922293,0,1.421413,0.97537558,0.93476357,0.45929714,1.26335414,1.05750841
Celecoxib,S1261,6,1,0,0,0,1,1.085368066,1.086938559,1.314122091,1.121019108,1.39146137,1.011451706,1.078718354,1.0827536,1.305357614,0.824498441,0.579205079,0.993521296,0.502658709,1.151039172,0.681784871,0.955886889,0.818600467,1.544639522,1.215218554,1.019663154,1.173957274,1.41025641,1.186417865,1.066020314,0.103,214,0.00212211,7.24494077,3321.87213,6677.27591,1.63305743,1.36292998,1.77879918,1.51008,15365.3106,1.34060227,1.57083832,1.28162925,0.41378726,0.55433734,11.1103141,0.87594382,1.14564531,1.25536883,0.75233359,0.79213,1.68381289,1.11520385,0.97891776,0.85447546,1.08011595,0.52544396,3.58606119,1.01776992,1.09903396,1.73157919,0.13201282,0.16060511,0.94455777,0.80967746,0.141661168,0,0.77525043,0.95328655,6.98265483,1.38095156,1.4968077,0,0.90933942,0.47816139,1.03853288,0.86561071,1.0738408,1.33042528
Celastrol,S1290,7,0,0,0,0,0,1.119762,0.599185504,1.188010235,1.199605275,0.452516914,1.215962984,1.168314873,0.223183951,1.889152811,0.877743937,0.645303668,1.090568553,0.533438564,0.246815439,0.922156176,1.169357326,0.158588044,1.240941352,2.108317336,0.302497304,1.436758223,26.9587242,2.200305904,1.24976916,0.439,361,0.05764829,2.52732822,0,2686.49958,0.6759873,1.71706422,0.02201008,0.01545,0.02355867,1.54917745,0,0.50783392,0,0.00014276,0.00459335,0.01341177,0.0073767,0.50661254,0,0,0.01091504,0.22717649,0.26256989,0.03416377,0,0.00267934,0,0.0906757,0.00100382,2.7044606,0.00233674,0.00011715,0.17330615,0,0.001266335,0,0.01824428,0.00320212,0.02881381,0.0321304,0.01393409,0,0.2535223,0.02701457,0.17043146,0.431108,1.18969749,1.5390247
Lenvatinib (E7080),S1164,8,1,1,0,0,0,1.328520118,0.952605796,1.007432679,1.974701713,1.590703892,1.05448236,1.807950949,0.865474842,1.097387173,1.943973997,0.613680029,1.574591748,1.098959207,0.902595537,0.903590913,1.532133676,0.876603766,0.848337691,2.45875948,0.719157056,1.19667684,2.045653533,1.029305598,1.097414589,0.104,326,5.16267264,7.23956687,1900.09421,18300.7678,2.53812649,1.78436514,0.98939833,0.32486,0.21617289,0.62243628,0.4269748,0.28874587,0.63528643,0.41310348,0.17253857,0.44419582,0.20963503,0.63825082,1.50049833,0.72716,0.47577931,1.0457354,0.19056432,0.43294586,1.78899836,0.49175444,0.66510809,0.74889948,0.33965582,0.42656351,0.26438969,0.28707767,1.08417594,0.74633287,0.108268213,0.183032946,2.10213147,0.47865804,1.11022134,1.05325879,0.23216949,0,3.07857072,0.32494428,3.13502692,5.66557219,0.77620096,3.0253201
CYC116,S1171,9,1,0,0,0,1,1.92758408,1.230006492,1.269891556,3.699291289,1.291277277,1.364025448,3.472310127,0.864746805,1.699129058,3.823114635,0.575446532,1.006865294,3.936861836,0.525524375,1.350378634,4.479177378,0.604065372,1.421740755,2.379079208,0.486849747,1.541878603,2.145090682,1.031508106,1.315327793,0.103,150,0.03655437,3.27709893,449.763907,906.583626,2.08204844,1.64249794,0.62500872,0.16014,0.08136414,0.642661,0.9585634,0.17693375,2.86057359,0.00581517,0.00175836,0.17490142,0.10553808,0.4654152,0.36574589,0,0.00591974,0.13044453,0.01602416,0.08446425,0.69811549,0.05988945,0.03587931,0.32239132,0.08315577,0.8263893,2.62219534,0.02018836,0.8312674,0.00893107,0.007406123,0,1.70434563,0.02405265,0.04912626,0.47887767,0.30422667,0,1.21175208,0.11296946,0.4407441,0.21917033,0.29782675,3.09594102
WZ8040,S1179,10,0,0,0,0,0,1.648078946,0.854158059,1.541123431,1.562034628,0.719721398,1.350144592,1.384592563,0.272447824,1.739245183,2.582919951,0.493017705,1.410217956,1.029941301,0.59544105,0.997638629,1.412030848,0.139953306,1.64960777,1.336438304,0.189330457,1.104442184,1.376485303,1.091710003,0.847645429,0.148,152,0.33176547,4.0227807,152.017738,1394.88378,1.62841539,2.25667366,0.16900488,0.08207,0.03448211,0.55909233,0.02407201,0,0.33607191,0.00289164,0.00033887,0.13391762,0.07882021,0.36002061,0,0,0.01150209,0.22647267,0,0.07885568,1.91833768,0.04133441,0.0270384,0.37200193,0.15879664,0,0.01256465,0.0039979,0.39615149,0.11139141,0.010714006,0,2.57807714,0.01790857,0.03722443,0.46873225,0.22581804,0,0.30589903,0.04094753,0.36121681,0.28426579,2.452039,8.62048923
"Dovitinib (TKI-258, CHIR-258)",S1018,11,1,1,0,0,0,1.712077785,1.17688721,1.459607652,1.777698035,1.421572881,1.127588201,1.864022943,1.242436499,2.105040908,1.504955347,0.72682526,1.260401253,1.52123514,1.033904798,1.317156583,1.466323907,1.151198406,1.200224131,1.789218617,0.723886169,1.441166497,2.062539087,1.278189049,1.229916898,0.114,302,0,6.98211413,150.977377,1511.91414,2.04986864,2.2481801,0.17948484,0.88992,0.49849169,1.82121207,0.70570986,0.5294184,0.89519762,0.58999604,1.00551703,0.41560125,0.37421847,0.80453222,0,0.39611,0.05180247,0.29770777,0.07736652,0.30112635,0.55570008,0.62653652,0.40038523,0.63041178,0.27227502,0.36429988,0.10956867,0.75939497,1.0233255,0.93169059,0.086647108,0.907140569,0.35428911,0.57116329,0.6563159,0.73801765,0.4398058,0,0.9582375,0.32170064,0,0.23940188,0.58254984,2.9939456
Lapatinib (GW-572016) Ditosylate,S1028,12,1,1,0,0,0,5.956028009,1.174054182,1.253807725,12.09473401,1.477996787,1.097975709,8.40130538,1.029364181,1.682238058,6.559023712,0.918251955,1.557608478,4.294263306,0.889665741,0.653936976,7.055218509,1.04444492,1.647366455,13.58189886,1.631129179,1.541200407,17.17698562,1.191557051,1.109418283,0.257,118,0.2573384,6.97188103,187.693445,4011.22582,0.60916231,2.05381202,7.47349249,2.22825,2.96591492,1.15819436,1.69045946,1.23928019,1.55405615,1.29594183,8.19589187,0.98448709,0.66718037,1.72267715,0.98527577,0.46557,2.23717385,3.69421145,3.39005711,1209.02639,3.55684025,1.84136743,1326.60714,2.30128072,1.09793713,14.1259762,3.80571735,0.5212729,0.97862612,0.84825636,1.052976895,2.007337708,17.040969,6.22808187,817.57302,2.05304827,1.95519358,239.766135,0.37499067,0.2684033,0.59847951,5.52627726,2.99036195,7.33937245
PD0325901,S1036,13,1,0,0,0,1,1.027899721,0.765153751,1.175947362,0.902126133,0.684544399,1.140543667,1.221420095,0.732486653,5.318025864,6.142447378,0.841136936,1.325908152,0.292408622,0.417776075,0.686181907,1.191773779,1.5666888,3.162121778,1.500708059,0.324981332,1.503221431,1.171982489,0.810523096,1.147276085,0.108,212,13.4720103,15.4859097,498.738203,2836.47005,0.76748328,1.87034244,0.44969649,0.83075,3.11696657,0.62385347,0.22876283,0.28627569,0.07862128,0.03259483,2.23453022,0.31769241,0.08438762,0.70930414,0.08522621,0.76424,0.19941967,0.75925646,0.04337695,0.19851529,0.04922002,0.333845,1.84894777,0.6667823,0.06259416,0.80424067,0.01913318,2.97381462,0.98441995,0.98868645,0.257669197,1.995025315,0.02147641,0.19044797,2.08785104,0.69820552,0.07056198,0,0.45259681,0.422705,0.53483955,0.25160397,0.57651937,2.63120281
"Temsirolimus (CCI-779, NSC 683864)",S1044,14,1,0,0,0,1,1.167216921,0.94032934,1.282319971,1.206782094,0.918823212,0.883747831,2.330102848,0.98333603,1.577724993,1.315002406,0.767262043,1.954289142,0.815192621,0.616416052,0.636593111,1.363496144,0.577548354,1.174075458,1.434244894,0.536298017,1.454730417,1.269543465,1.005078006,1.113573407,0.116,371,0,4.95946503,386.631762,2509.23914,0.86164282,1.29270919,1.50066734,1.5075,1.02569994,0.82416747,1.90921513,0.61383518,0.95853182,1.84109133,0.65624989,0.49419483,1.35549798,0.58523527,0.08801915,0.17815,1.57795876,0.73212163,0.56249016,1.31897163,2.78768639,1.10770711,1.70882804,0.70390654,1.10045071,0.78409231,0.02930155,0.04024599,0.59544474,0.39821405,0.076267028,0,0.40185921,1.81140426,0.90604962,0.75294937,1.06063673,0,0.89912209,0.27948031,0.26654332,0.29189408,1.36772806,1.79988469
Epirubicin HCl,S1223,15,0,0,0,0,0,1.781954069,1.557929528,4.481540149,1.436799139,1.180399376,5.699942163,1.569125791,0.405759586,3.815782528,0.988195338,0.544730129,9.684709725,0.628382578,0.5690068,2.527807182,1.24092545,0.330841562,4.946581995,1.174811971,0.65676595,4.665310275,1.923076923,4.799265831,5.222068329,0.277,205,1.63259024,4.7994809,0,1482.32924,0.90844853,1.13062094,0,0.01659,0.02591583,1.19033051,0,0.33028641,0.0409154,0.00013993,0,0.00810638,0.00128088,0.53850835,0.10065777,0,0.0079589,0.16686124,0.06128277,0.09386217,0.27422997,0.00719248,0.02240497,0.0710394,0,1.30242158,0.00315236,0.00010064,0.11819321,0.01269202,0.00240062,0,0.18766471,0.00314279,0.05841646,0.02816207,0.0155208,0,0.75929458,0.07572136,0.44245601,0.31111248,0.67868744,0.56440422
Topotecan HCl,S1231,16,0,0,0,0,0,1.283024344,0.606504161,1.284878762,1.546963309,0.524981532,1.476460382,1.412480222,0.287332147,2.356294537,1.109501193,0.395813899,9.785396254,0.521245006,0.38071066,1.105610292,1.532133676,0.13704029,1.7067613,2.093212072,0.205011201,1.123431672,2.535959975,1.23487305,1.192520776,0.12,318,3.67376642,4.67967739,217.875493,9576.30316,5.56535764,1.18328924,0.67906705,0.00098,0.05797535,2.71051837,1.0729571,0.48553121,0.07820113,0.00072522,0.00835045,0.23994792,0.18458206,0.41701696,0.3936804,0.06545,0.04005181,0.85130182,1.2840262,0.45696111,0.9736254,0.06323129,0,0.68146712,0.40892229,0.2968307,0.01961636,0.00057889,0.51232344,0.03002776,0.124712099,3.491824255,0.395912,0.01661678,0.26776034,0.65424931,0.38288134,0,2.56014421,0.13435267,0.70032584,1.33147386,4.04691315,1.36996356
SL-327,S1066,17,1,0,0,0,1,1.220984653,0.846839403,1.222371147,0.944828205,0.77713026,1.154887218,1.380142405,0.769131209,4.465030351,0.974700612,0.564818916,1.133633273,0.332540818,0.453021741,0.722091035,1.082159383,1.097993017,2.463952185,1.33077383,0.352609309,1.368599525,1.017510944,0.811257265,0.998153278,0.184,944,0,10.4568293,429.89672,2296.88126,0.8642989,1.23081967,0.38206597,1.14564,7.79720932,0.78606329,0.05327246,0.44775826,0.33654416,0.25468392,2.56422507,0.54264386,0.27763377,0.82436456,0.95602063,1.12443,1.13812902,1.02704044,0.39013637,0.29777615,0.23368058,0.76354557,6.69291989,0.85901878,0.32226419,1.84877395,0.1170953,1.44828429,0.99304628,1.05869045,0.575674024,2.8555539,0.33933909,0.59841131,366.639276,1.08178568,0.37602429,0.69896555,0.15114209,0.35951645,0.19301173,0.54029978,1.08876452,0.82067511
SB216763,S1075,18,1,0,1,0,0,1.534883721,2.276338311,1.848909468,1.510002691,2.033371246,1.143782533,1.902887658,1.584209675,2.988123515,1.26014341,1.219324544,1.952469506,0.722497904,1.352456661,0.916782021,1.076606684,0.807419624,1.237205827,1.2933883,1.512818385,1.404204815,1.671669794,5.305842765,1.208679594,0.103,208,0,6.7533345,470.373628,13027.2129,1.50850294,1.30758092,0.23649014,0.59576,0.85069309,0.88196776,1.9910081,0.17262496,0.60102346,0.575002,0.580493,1.0454489,0.91789016,0.91419033,0.067125,0.15147,0.58105182,1.18355094,0.55672879,0.30168293,0.71428992,0.25539913,0.45542896,1.22081107,0.94728941,1.02790174,0.05737908,0.07982087,1.18555486,0.53056043,0.089016264,0,0.77599549,0.40998966,0.95951083,1.77654907,0.90801325,0,0.70084673,0.1365152,0.5397564,3.42834216,0.94323717,0.57799853
Brivanib (BMS-540215),S1084,19,1,0,0,0,1,1.055110111,0.834562946,1.280857804,1.170897999,1.039128548,1.116483516,1.357891614,1.021841126,1.892847717,1.115661829,1.279979719,1.957928414,0.626606817,0.716598027,1.128084032,1.121028278,0.707220425,1.30070975,1.222771187,0.37584004,1.474737199,1.273921201,1.182747017,1.210987996,0.109,225,0.12097969,8.26714662,728.548206,1559.87315,0.77194021,1.72693403,1.22879103,0.75807,1.28350969,0.93961335,0.26668886,0.23104611,1.09234406,0.92108327,6.04045312,0.67060039,0.3172489,1.29942932,1.27734976,0.93557,0.99199185,0.8699432,0.26143559,1.06879838,0.6730274,0.63433803,2.78204097,0.74035834,0.2125828,2.11779638,6508.62473,0.21158941,1.0170678,0.90133675,0.103262701,1.457822301,1.05167183,0.67344685,2.35512372,0.85563705,0.17092569,0,0.49898574,0.46140749,1.79922724,0.41713102,0.84560186,4.47282575
GDC-0879,S1104,20,1,0,0,0,1,1.334832928,1.028389305,1.255269892,1.207858617,1.176459552,0.97443609,2.008504747,1.10524187,1.930852468,1.366634402,0.930175622,1.501806305,0.659399201,0.538071066,0.699128735,1.272802057,0.279007004,1.598057527,1.789596249,0.533145275,1.637843337,1.193871169,0.879535026,0.917359187,0.12,535,0,5.80284541,216.892871,1289.09169,0.93617488,2.01678409,0.59422859,1.05337,0.92431478,0.80096465,0.57830687,0.72005585,0.66463429,0.52332247,0.84781327,0.51648862,0.45453409,0.98167685,0,1.25244,0.49870106,0.95644813,0.4469977,0.20716221,0.29870155,0.40801686,0.74254691,0.77338641,0.4348232,1.10111453,0.00400591,0.00275064,0.45210743,0.05412723,0.001061909,0,0.2424214,0.31630736,0.82847065,0.69431368,0.35011933,0,0.63800817,0.92527441,0.07960789,0.39674219,1.73046393,0.74370988
Everolimus (RAD001),S1120,21,1,1,0,0,0,1.519645902,0.920025969,1.463263068,1.334170629,0.892370109,0.883747831,2.614912975,0.992396052,1.207706519,1.002716837,0.61575371,0.778197694,1.853775958,0.842160713,0.991043075,1.737583548,0.642277293,0.919312663,2.117758127,0.391520783,1.158358766,1.062539087,0.839889875,0.923361034,0.126,686,0,4.5861851,805.651693,2170.62742,0.22890302,0.63463614,0,0.98726,1.08816258,1.7533047,1.70518832,0.90347544,0.28449989,0.63181005,2.08219904,0.45041249,0.79151596,0.88127766,1.66002505,0.2397,1.12438697,0.59038862,0.5078697,0.54240211,0.34649595,0.54891987,2.98842717,0.72070538,1.22015656,1.42533958,0.02197377,0.0870061,0.77202508,0.69366341,0.094683323,0,0.32492173,1.88596561,1.05037352,0.71758112,1.28551897,0,0.13699074,0.00460086,0.26615498,0.24713858,1.06895844,0
Glesatinib?(MGCD265),S1361,22,1,0,0,0,1,1.343104887,1.167679868,1.470939442,1.272449987,0.99199137,1.098901099,1.298556171,0.836919592,1.816838216,0.905466799,0.451673686,0.80488569,0.51698318,0.559716502,0.688136145,1.222622108,0.947929831,1.692939858,1.019227743,0.264000664,0.943031536,1.195121951,1.008748853,1.067405355,0.105,304,0.13222903,8.34676354,143.264461,3341.48556,1.31403028,0.53009973,0.65352998,0.25586,0.32585592,0.73599855,1.05576541,0.67128461,0.76401949,0.1762428,0.15813802,0.3412429,0.28839466,0.31420024,0.58768827,0.39352,0.76027394,0.77155242,0.14841267,0.47120502,1.50259912,0.31050197,0.43586386,0.71871956,0.4891961,0,0.15776285,0.18527668,0.96790335,0.81367418,0.192986867,1.97334227,0.88575096,0.61879598,0.47474744,0.76371626,0.40496415,0,0.17475221,0.27137439,0.40050951,0.40288714,0.38647004,0
Ruxolitinib (INCB018424),S1378,23,1,0,0,0,1,1.194644995,1.135808298,1.15511149,1.464429891,1.924041134,1.036437247,2.190961234,1.470150461,3.508049617,1.118595465,0.983832123,1.231893621,0.545158585,0.620534432,0.644410064,1.370488432,0.742048108,1.039596563,1.021493533,0.399817473,1.255001695,1.012507817,0.773080453,1.040166205,0.11,126,2.28339486,3.85769762,0,1167.43424,1.68121241,0.32573763,1.27877469,0.3938,0.04519701,0.53564215,1.4098376,1.08645298,1.21166186,0.79578379,0,0.57604225,0.49891511,0.1282802,0.3934225,0.55484,0.00400573,0.7949843,0.31773926,0.07694795,1.07450429,0.40986143,0.04464567,0.70453354,0.65836645,0.863541,0.17167065,0.26529863,1.147117,0,0.247490534,0,0.84295095,0.49898874,0,0.73070702,0.53497981,0,0.7093533,0.24219643,0.07800671,0.29360343,0.42490191,0
ABT-751 (E7010),S1165,24,1,0,0,0,1,6.832420274,2.521631352,1.319970757,3.680272719,2.094297808,0.97443609,2.334849684,1.657175214,0.652414885,2.025089037,1.090367494,0.974111844,1.194139989,0.893975673,0.676410716,5.468174807,0.969177715,1.007844602,1.862479152,0.842445864,0.606646321,1.996873046,1.894157235,1.030009234,0.113,303,12.5960418,7.66138294,448.086083,16987.6821,1.79479632,0.23963972,13.5544802,2.27368,0.10936188,2.22673758,3.4274173,0.72101033,7.19397629,0.33070515,0.00542021,0.40273177,0.25546561,0.12567215,21.5179823,0.12102,1.95717717,2.77960292,1.00842623,1.20730066,12.2226231,0.15548651,0.06473283,0.64718257,0.37551808,0.79734966,0.14995738,0.00700018,0.55551203,0.03861788,0.025864944,0,11.6411563,0.48604561,0.24948904,0.76322253,0.54587521,0,8.01070391,0.27883222,0.13524285,7.17574758,1.71063323,0
JNJ-26854165 (Serdemetan),S1172,25,0,0,0,0,0,1.568624605,1.436109308,1.687340076,1.583923926,2.041673018,1.041064199,1.512163766,1.153049668,0.858801795,1.322336496,0.886498712,1.037192561,0.540068071,0.890527727,0.529598567,1.151670951,0.535352454,1.255509899,1.331151462,0.821870074,0.877585622,1.48905566,1.16512695,1.166204986,0.121,141,0,2.26209481,269.29628,1977.07313,0.43842628,0.67944198,1.91534219,4.10361,2.66951185,1.82111062,1.52533374,1.07880019,1.09044753,0.83855212,1.28447985,0.5222155,0.63159728,0.38036701,0.20178456,0.50937,1.81810281,0.93484019,0.70610047,1.60868234,1.36802692,0.63856445,0.79726567,0.73417888,0.66255852,0.43838003,0.06152735,0.14043814,0.97108477,0.7722236,0.153451803,0,0.93202339,1.20283566,1.43878028,0.90431597,0.68331029,0,0.13237531,0.00293751,0.15874743,0.27845589,1.36748163,0
Aprepitant,S1189,26,0,0,0,0,0,1.229909662,1.111255386,1.24137931,1.14075536,0.689609887,0.90410642,1.032436709,0.819365798,0.989707047,1.029559608,1.185497619,1.180943811,0.749726237,0.799540274,0.789267975,1.44781491,1.037676441,1.500186776,1.12798565,0.68538953,1.127839946,1.25203252,1.060140716,1.192059095,0.096,105,1.0144811,1.84104445,223.361164,4818.54649,0.68833676,0.3112938,0.27156222,1.76065,5.01032283,0.61894022,1.8428986,2.15553732,0.35037307,0.73952753,3.36400924,0.80899848,0.83417811,0.76773071,0.28267977,0.92905,1.15737735,1.1079603,0.45311543,0.9547736,0.52650154,0.72745999,3.56431698,1.06533616,0.98009399,1.98688041,0.07546114,0.05593407,0.94355932,0.62068658,0.053883544,0,0.80074704,1.37863337,2.51151685,1.35871882,0.9108238,0,0,0.0121568,0.0653834,0.92151228,1.21080918,0
PI-103,S1038,27,1,0,0,0,1,1.22490295,0.790178835,1.080906543,1.135731587,0.956673663,0.78935801,0.910205696,0.579032519,0.764845606,0.885078027,0.475650625,0.843704592,0.592157056,0.407719567,0.489536683,2.162673522,0.66712361,0.854688084,1.049438273,0.246328715,1.01865039,0.901188243,0.81859896,0.870267775,0.1,239,0.39511424,10.5006976,497.8735,1112.13309,0.6291936,0.52622347,0.11197985,1.576,0.71052552,0.62001468,0.41114288,0.31612629,0.40212505,0.59681625,0.45562097,0.27416437,0.84001418,0.13451336,0.09543425,1.25924,0.34060156,0.24862405,0.08720624,0.01854503,0.36467972,1.39703993,0.71094013,0.47857884,0.59207876,1.29818625,0.04249843,0.13275837,0.59257327,0.73671629,0.042813106,0,0.41278831,1.6028766,1.26147676,0.53258913,0.90535396,0,0.20200448,0.45645739,0.23773325,0.23271281,0.15341129,0
PFI-1 (PF-6405761),S1216,28,1,0,0,0,1,0.890106302,1.099923272,1.09150725,1.014443348,0.925014364,1.212724118,0.757120253,0.583966996,1.076273423,0.871876665,0.550432753,0.850983137,0.283648202,0.378124701,0.562332058,0.870951157,0.412406023,1.031004856,0.874217201,0.326972538,1.10003391,1.019387117,0.99847048,1.053093259,0.195,681,12.9953617,0.48267571,154.922746,25081.4044,3.69127117,0.5673598,3.07408364,0,0.04640763,0.98476334,5.51203555,0.91560033,1.79700601,0.00026766,0.00542806,0.84410778,3.12395638,0.04967657,5.67482784,0,0.0620155,1.7387861,3.86060737,0.00029715,10.395316,0,0.00758168,1.96306794,2.96885071,0.2171448,0.65852927,0.00221672,0.92702502,0.06145442,0.568005683,0,9.45501495,0.00357612,0.07661637,1.86084035,2.98202334,0,1.55672559,0.18463611,0,1.43010655,1.22386239,0
