Name,Cmpd number ,HTP Rank,Viable?,inherent CD86,inherent CD40,inherent MHCII,Keep?,Mods only MFI of BV421 (CD86),Mods only  MFI of AF488 (CD40),Mods only MFI of PE (MHCII),Pam3 MFI of BV421 (CD86),Pam3 MFI of AF488 (CD40),Pam3 MFI of PE (MHCII),Pam2 MFI of BV421 (CD86),Pam2 MFI of AF488 (CD40),Pam2 MFI of PE (MHCII),LPS MFI of BV421 (CD86),LPS MFI of AF488 (CD40),LPS MFI of PE (MHCII),Fla MFI of BV421 (CD86),Fla MFI of AF488 (CD40),Fla MFI of PE (MHCII),R848 MFI of BV421 (CD86),R848 MFI of AF488 (CD40),R848 MFI of PE (MHCII),cGAMP MFI of BV421 (CD86),cGAMP MFI of AF488 (CD40),cGAMP MFI of PE (MHCII),Poly IC MFI of BV421 (CD86),Poly IC MFI of AF488 (CD40),Poly IC MFI of PE (MHCII),Modulator only abs,Modulator only lum,Mods alone IL-1b (pg/mL),Mods alone IL-12 (pg/mL),Mods alone IP-10 (pg/mL),Mods Alone CCl4 (pg/mL),Mods Alone TNF (pg/mL),Mods Alone IFN-B (pg/mL),LPS - IL-1B,LPS - IL-12,LPS - IP-10,LPS-CCl4,LPS-TNF,LPS-IFN-B,PAM3 - IL-1B,PAM3 - IL-12,PAM3 - IP-10,PAM3- CCL4 - FOLD COUNTS,PAM3 - TNF,PAM3 - IFN-B,cGAMP - IL-1B,cGAMP - IL-12,cGAMP - IP-10 - fold counts,cGAMP CCL4 - Fold Counts,cGAMP - TNF,cGAMP - IFN-B,Fla - IL-1B,Fla - IL-12,Fla - IP-10,Fla-CCL4,Fla - TNF,Fla - IFN-B,R848 - IL-1B,R848 - IL-12,R848 - IP-10,R848 CCL4,R848 - TNF,R848 - IFN-B,PAM2 - IL-1B,PAM2 - IL-12,PAM2 - IP-10,PAM2 CCL4,Pam2 TNF,Pam2 - IFN-B,Poly IC - IL-1B,Poly IC - IL-12,Poly IC - IP-10,Poly IC- CCL4,Poly IC - TNF,Poly IC - IFN-B
Tivantinib (ARQ 197),S2753,188,1,0,0,0,1,4.546529768,2.413031931,1.299500426,5.500672827,2.886343116,1.103990746,7.811511076,2.502993043,1.296912114,0.820978078,0.918511165,0.829147504,6.145434815,2.143951729,1.149092093,3.20596401,0.701651423,1.11878969,2.610567392,0.978677508,0.706341133,2.161350844,2.018231875,1.06278855,0.133,1212,7.87546359,2.30605122,39.5277914,7748.10638,1.86738461,0.06526123,6.36464595,0.46647,0.03245093,0.78992729,1.50067338,1.26603417,3.94836279,0.07405319,0.01408293,0.31026506,0.20509587,0.10363253,4.3701582,0,1.24072188,2.1465068,0.47384853,5.27637709,5.53593249,0.0713109,0,0.57600277,0.29930232,1.22215442,0.2307102,0.00446518,0.47892663,0.02156172,0.012867046,0,14.2067365,0.12992825,0.05785409,0.72301554,0.37874144,0,2.28611361,0.99247023,0.09398596,1.43058484,1.6477694,0.13715594
"Tofacitinib (CP-690550,Tasocitinib)",S2789,189,1,0,0,0,1,1.3816348,1.182789353,1.379188498,1.255943303,1.342776403,1.017466744,1.730814873,1.066655881,1.754024809,2.36289724,0.988886721,1.15364927,0.680116411,0.717651566,0.77192411,1.081131105,0.492556815,1.128128502,1.082292224,0.389114743,1.196337742,1.303939962,1.101988376,1.100184672,0.09,849,0,1.85905895,47.5829612,1817.8565,0.81312307,0,1.53056941,1.23848,0,1.89520054,1.05164834,0.80465977,0.84825558,1.44726182,0.02020295,0.6688388,0.67366134,0.06426219,0.39852582,0.96593,0.01170705,0.65202462,0.44164384,0.00254759,0.91599137,0.67067163,0.01893896,0.74846075,0.798373,0.86473354,0.31295525,0.38973332,0.95107156,0,0.191174404,0,0.69350128,1.39725221,0.03203353,1.05245851,0.73962247,0,0.33386052,0.00397712,0.49765869,0.33207486,0.97223387,0
Benztropine mesylate,S3163,190,1,0,0,0,1,1.558393499,1.318302544,1.407335202,1.500672827,1.384566678,1.042452285,1.921578323,1.294531629,1.718131433,1.497621256,1.099051034,1.683163367,0.629092882,0.615075184,0.610699454,1.383856041,0.529783451,1.088531939,1.58945149,0.983323654,1.528314683,1.636647905,1.480085653,1.209141274,0.289,965,0,2.22001985,333.414136,1602.44303,1.13470446,0.01753187,1.69451499,1.51884,1.42605797,0.8808935,1.09109419,2.01072865,1.09223837,0.64019222,2.87967217,0.79754076,0.64023281,0.33388086,0.16011578,0.70343,0.49273785,0.65539183,0.09037312,0.20219157,0.71012238,0.4120657,1.20424677,0.82113365,0.73275878,0.46045624,0.32680007,0.28907149,0.96468073,0.73318572,0.163878616,0,1.52632233,0.98983629,1.50818091,1.08744508,0.71574413,0,0.88837581,0.0039303,0.08233271,0.25367502,1.34631847,2.8345686
Alpelisib (BYL719),S2814,191,1,0,0,0,1,1.255160904,0.939384997,1.152918241,0.902843814,0.72591255,0.840717178,0.949070411,0.542873321,1.027183954,1.201324005,0.752357459,0.865540225,0.534740788,0.45254286,0.602882501,1.174498715,0.688885557,0.82555099,1.087579067,0.266655604,1.059003052,0.99249531,0.856775772,0.905817175,0.119,1414,2.20839538,3.89791229,124.095279,1211.67203,2.81727848,0.18059259,0.45174128,1.75561,0.09222856,1.33819902,0.79482479,1.00210166,0.44555202,1.11134747,0.44194305,0.33876788,0.53877264,0.08195403,0.05684459,1.28028,0.02231213,0.26272093,0.05968513,0,0.24992563,1.22359523,0.32538485,0.55449088,0.32523374,1.49875657,0.43594995,0.24099561,0.97831752,0.76598395,0.028593712,0,0.44370916,1.38891927,0.83481136,0.64194277,0.32395273,0,0.42935709,0.71658337,0.05618871,0.35116551,0.54491229,0
Niraparib (MK-4827),S2741,192,1,0,0,0,1,1.652432609,1.530307502,1.482636773,1.592894949,1.775172074,1.095199537,2.111451741,1.398640997,1.494853523,1.066523424,0.73628643,0.917703126,0.891431954,0.946461067,0.730396548,1.133161954,0.83427935,1.075084049,1.394593574,1.894217207,1.497795863,1.392120075,1.541021719,1.164358264,0.106,1470,4.16957514,15.5410606,344.421711,4564.08474,0.24046179,0.10888564,1.66978746,2.01969,1.03427401,1.31413438,1.87202046,1.75168975,1.1192379,0.79211196,0.93626288,0.70853843,0.85836206,0.1570183,0.8249395,1.71908,0.90802767,0.84257076,1.24705175,0.52651528,0.69563158,0.56176755,0.72243259,0.75968035,1.0550189,0.32749997,0.1010181,0.26359851,0.88950464,0.80735835,0.112726683,0,1.74635933,1.2900171,1.18861648,1.11584972,1.05433634,0,0.45407892,0.00060762,0.21641411,0.36857022,0.5754601,0
Salubrinal,S2923,193,1,0,0,0,1,1.163733991,1.260461548,1.303155843,1.14075536,1.343479943,1.046616541,0.986451741,0.870813784,1.261018738,1.115808511,0.902440136,1.079044191,0.569308933,0.718800881,0.698884456,0.975012853,0.789384625,1.310795667,1.191805394,0.746453165,1.535774839,1.464665416,1.160721933,1.246075716,0.128,902,0.2159924,2.15328055,273.732515,2921.40135,0.07849005,0,0.6494503,0.33272,0.29046113,0.93839962,0.9007128,1.86967413,0.57627498,0.59636335,0.43372483,0.76356054,0.83753682,0.1220399,0,0.19437,0.40111189,0.63493422,0.46639104,0.43479793,0.95818471,0.51948365,0.46121616,0.84292793,0.85431065,0,0.20742278,0.26001459,0.8078665,0.86472262,2.268322215,0.201539534,0.97772987,0.66601377,0.62914359,1.21278266,0.80167148,0,0.38442871,0.05895888,0.31415327,0.30574375,0.67298893,0
Pifithrin-μ,S2930,194,1,0,0,0,1,1.789137612,1.370713569,1.533081516,1.252354894,0.597586858,1.299710816,1.143987342,0.6515127,1.691739245,0.843273712,0.542656448,1.050536559,0.336210724,0.269227086,0.62682192,1.040616967,0.205281984,1.236832275,1.368914624,0.346054924,1.501865039,1.4246404,1.3178342,1.240535549,0.131,1755,0,0,55.4385242,1222.96047,0.71007809,0.22789385,0,0,0.03996271,0.94257934,0.02220779,0.93877204,0.07767267,0.00288132,0.04355335,0.42602234,0.02707286,0.08145719,0.01826374,0,0.01983563,0.32478731,0.09189781,0.01234243,0.00545543,0.00072785,0.0363546,0.31051315,0.03580196,0.44626788,0.00478117,0.00033856,0.42852355,0.00586429,0.008667587,0,0,0.01806569,0.14225483,0.66878017,0.03853722,0,0.11659123,0,0.15159181,0.20531683,0.40658788,0
Epiandrosterone,S2832,195,1,0,0,0,1,1.21728404,1.264238919,1.311197758,1.62339643,2.11385622,1.127125506,1.325553797,1.089548617,1.079968329,0.989222111,0.910864466,1.214910351,0.473062694,0.618810459,0.60483674,1.149820051,0.867993232,1.18042585,1.083425119,1.072513067,0.899287894,1.250781739,1.121810951,1.202677747,0.121,2098,2.49364315,45.2811965,943.045096,7475.19321,1.99948876,0.05453205,2.01672435,1.29221,1.11384441,2.46668205,1.64212401,1.08410113,0.82651137,0.96328404,1.06623882,0.83945277,0.82698893,0.18548859,0.74540181,1.76107,0.73079352,0.82368437,0.65190073,0.70649913,0.71895666,1.81339169,2.06044098,0.96174156,1.10217683,1.23222597,0.32004356,0.35597854,0.82582468,0.67520142,0.148283264,0,1.36719205,2.49528503,1.26381361,1.48526407,1.13362839,0,0.38108805,0.00437527,0.31063459,0.37007971,0.55974651,0
StemRegenin 1 (SR1),S2858,196,1,0,0,0,1,1.037695461,1.008322021,1.112708663,1.346371221,1.436628636,1.21642568,1.410996835,0.99021194,1.487463711,1.03293329,0.933934169,1.134239819,1.331820648,0.941672254,1.285400212,0.955475578,0.802878746,1.337317893,1.027158007,0.518543101,1.044760936,1.245778612,1.271581523,1.144967682,0.112,999,5.01283124,2.63685999,203.012412,12541.0499,0.24334872,0.13957991,2.88159793,1.0517,0.81273248,0.88019508,0.93973906,1.78501214,1.4175861,0.35403569,1.15883975,0.72102662,0.39186986,0.50613075,0.60085036,0.78018,1.46459981,2.20664044,0.77913157,56.0820316,3.11336691,1.160682,1292.93192,1.87515352,0.62136637,10.0458757,0.13577508,0.14009586,0.93638558,0.78592754,0.433196895,6.493065494,2.69791738,1.18320888,3.76418804,2.23649332,0.55599007,0,0.27060026,0.23971108,0.06090213,4.41018467,0.03427812,0
Levamlodipine,S3674,197,1,1,0,0,0,1.969814607,1.165082925,1.254538808,3.09895039,2.067703997,1.123423944,2.38528481,1.248099013,1.28793877,1.91903809,0.939636792,1.20459908,1.532836778,1.137438943,0.837635372,2.243084833,0.835093281,1.443033246,2.948925323,0.976022567,1.12377077,3.26641651,1.378770266,1.198060942,0.11,1375,1.25492949,2.59811262,725.897408,2612.59929,0.65257677,0.14748974,2.41952674,1.90946,1.81402557,0.64910245,1.16659099,1.88600057,1.0466379,0.51686697,2.55701212,0.80351346,0.72644537,0.53809608,0.35438622,0.54339,1.30729044,0.93679804,0.8311001,1.16239753,1.21417527,0.43013312,1.63763803,0.8902977,0.80474985,1.04833497,0.51567416,0.31968924,0.87640018,0.77901197,0.29655166,0,1.14213592,1.02537184,4.34384643,1.46903029,0.79928227,0,0.27442071,0.02164236,1.00879286,0.34179087,0.71772536,0
